Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Brighton","185 Chestnut Hill Ave. #6 Brighton","3100","0","0","N/A","1"
"Brighton","90 Kilsyth Rd. #44 Brighton","3500","0","0","1","1"
"Brighton","91 Wallingford #Driveway Brighton","200","0","0","N/A","N/A"
"Allston","2 Webley #parking Allston","175","0","0","N/A","N/A"
"Fenway","1350 Boylston St. #PH1709 Fenway","3525","0","0","N/A","1"
"Brighton","175 Washington St. #3153 Brighton","4509","0","0","2","2"
"Brighton","175 Washington St. #3250 Brighton","2898","0","0","N/A","1"
"Brighton","175 Washington St. #3343 Brighton","3453","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1705 Mission Hill","2624","0","0","1","1"
"Allston","219 Western Ave. #N919 Allston","4313","0","0","1","1"
"Fenway","771 Beacon St. #B2-1010 Fenway","3883","0","0","1","1"
"Bay Village","212 Stuart St. #1803 Bay Village","22510","0","0","3","2"
"Brighton","175 Washington St. #3351 Brighton","3562","0","0","1","1"
"Bay Village","212 Stuart St. #403 Bay Village","4540","0","0","1","1"
"Bay Village","212 Stuart St. #604 Bay Village","8300","0","0","2","2"
"Mission Hill","75 Saint Alphonsus St. #2008 Mission Hill","2514","0","0","1","1"
"Mission Hill","101 South Huntington Ave. #302 Mission Hill","6155","0","0","2","2"
"Brighton","125 Guest St. #1811 Brighton","6329","0","0","3","2"
"Mission Hill","75 Saint Alphonsus St. #1412 Mission Hill","3464","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #907 Mission Hill","4911","0","0","3","2"
"South End","89 East Dedham St. #827 South End","3641","0","0","1","1"
"Back Bay","77 Exeter St. #1-604 Back Bay","4917","0","0","1","1"
"Brighton","1550 Soldiers Field Rd. #415 Brighton","2607","0","0","1","1"
"Fenway","200 Brookline Ave. #713 Fenway","4836","0","0","1","1"
"Back Bay","790 Boylston St. #790-17K Back Bay","3201","0","0","N/A","1"
"South End","89 East Dedham St. #1118 South End","4226","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #402 Mission Hill","3239","0","0","2","1.5"
"Fenway","200 Brookline Ave. #1510 Fenway","4005","0","0","N/A","1"
"Brighton","1550 Soldiers Field Rd. #407 Brighton","2612","0","0","1","1"
"Allston","65 Brainerd Rd. #75-220 Allston","3627","0","0","1","1"
"Allston","65 Brainerd Rd. #60-501 Allston","3823","0","0","2","1"
"Allston","65 Brainerd Rd. #65-215 Allston","3062","0","0","1","1"
"Fenway","1330 Boylston St. #604 Fenway","4900","0","0","1","1.5"
"Brighton","1550 Soldiers Field Rd. #116 Brighton","2592","0","0","1","1"
"Back Bay","790 Boylston St. #790-15A Back Bay","3110","0","0","N/A","1"
"South End","89 East Dedham St. #2-228 South End","3207","0","0","N/A","1"
"South End","89 East Dedham St. #2-902 South End","3322","0","0","N/A","1"
"South End","89 East Dedham St. #2-502 South End","3242","0","0","N/A","1"
"South End","89 East Dedham St. #2-1102 South End","3522","0","0","N/A","1"
"South End","89 East Dedham St. #2-825 South End","3721","0","0","1","1"
"South End","89 East Dedham St. #2-108 South End","4161","0","0","1","1"
"South End","89 East Dedham St. #2-1004 South End","5595","0","0","2","2"
"South End","89 East Dedham St. #2-107 South End","5815","0","0","2","2"
"South End","89 East Dedham St. #2-511 South End","7149","0","0","3","2"
"Fenway","1260 Boylston St. #818 Fenway","4168","0","0","1","1"
"Fenway","1260 Boylston St. #808 Fenway","3259","0","0","N/A","1"
"Fenway","1260 Boylston St. #PH16 Fenway","3500","0","0","N/A","1"
"Fenway","1260 Boylston St. #438 Fenway","3391","0","0","N/A","1"
"Brighton","175 Washington St. #3618 Brighton","3748","0","0","1","1"
"Bay Village","212 Stuart St. #1806 Bay Village","6035","0","0","1","1"
"Mission Hill","101 South Huntington Ave. #404 Mission Hill","4401","0","0","2","1.5"
"South End","300 Harrison Ave. #3-209 South End","3649","0","0","N/A","1"
"South End","300 Harrison Ave. #3-308 South End","3649","0","0","N/A","1"
"South End","300 Harrison Ave. #3-307 South End","3663","0","0","1","1"
