Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Jamaica Plain,"3611 Washington St.,Unit 2509,Boston,MA,02130,Jamaica Plain",2197,0,0,1,1,6714,1.7,4624,8945,3.4,7003,11681,5.8,8020
Allston,"1315 commonwealth Ave.,Unit 507,Boston,MA,02134,Allston",2200,0,0,1,1,4724,2.4,6641,1504,2.4,2138,3517,2.4,3327
Dorchester,"15 Victory Rd.,Unit 41,Boston,MA,02122,Dorchester",2200,0,0,1,1,8204,1.7,7740,11604,3.4,13953,18373,2.4,22458
Brighton,"2003 Commonwealth Ave.,Unit 27,Boston,MA,02135,Brighton",2200,0,0,1,1,7383,2.4,11382,4162,2.4,4660,1023,2.4,686
Allston,"64 brighton Ave.,Unit 109,Boston,MA,02134,Allston",2200,0,0,1,1,6171,3.4,4268,969,1.7,834,4682,2.4,4575
Allston,"80 Gardner St.,Unit 14,Boston,MA,02134,Allston",2200,0,0,1,1,6434,3.4,6187,842,0,1141,4984,2.4,4865
Brighton,"1999 Commonwealth Ave.,Unit 34,Boston,MA,02135,Brighton",2200,0,0,1,1,7383,2.4,11382,4162,2.4,4660,1023,2.4,686
Fenway,"465 Park Dr.,Unit B,Boston,MA,02215,Fenway",2200,0,0,1,1,3014,1.7,1571,626,1.7,586,6449,2.4,5533
Allston,"6 Webley St.,Unit 3,Boston,MA,02134,Allston",2200,0,0,1,1,6083,1.7,6117,1865,1.7,1748,3762,2.4,4069
Brighton,"1152 Commonwealth Ave.,Unit 24,Boston,MA,02134,Brighton",2200,0,0,1,1,6128,3.4,4241,982,2.4,806,4304,2.4,4531
Allston,"6 Webley St.,Unit 1,Boston,MA,02134,Allston",2200,0,0,1,1,6083,1.7,6117,1865,1.7,1748,3762,2.4,4069
Brighton,"10 Lothian Rd.,Unit 7,Boston,MA,02135,Brighton",2200,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"103 Gordon St.,Unit G1,Boston,MA,02134,Brighton",2200,0,0,1,1,5183,2.4,6611,1963,2.4,2537,3510,2.4,2980
Dorchester,"15 Victory Rd.,Unit 41,Boston,MA,02122,Dorchester",2200,0,0,1,1,8204,1.7,7740,11604,3.4,13953,18373,2.4,22458
Allston,"80 Gardner St.,Unit 14,Boston,MA,02134,Allston",2200,0,0,1,1,6434,3.4,6187,842,0,1141,4984,2.4,4865
Brighton,"126 Warren St.,Unit 11,Boston,MA,02135,Brighton",2200,0,0,1,1,5345,2.4,4701,2125,2.4,2025,3190,2.4,2899
Jamaica Plain,"16 Lakeville Rd.,Unit 5,Boston,MA,02130,Jamaica Plain",2200,0,0,1,1,4478,1.7,3640,6504,3.4,4773,14284,4.1,6864
Allston,"37 Aldie St.,Unit 3A,Boston,MA,02135,Allston",2200,0,0,1,1,7009,3.4,7593,2723,1.7,2518,5217,4.1,4252
Roxbury,"43 Dale St.,Unit 3,Boston,MA,02119,Roxbury",2200,0,0,1,1,3281,1.7,2263,6283,3.4,5176,10834,5.8,9467
Hyde Park,"59 Loring St.,Unit 2,Boston,MA,02136,Hyde Park",2200,0,0,2,1,14017,3.4,11160,23137,4.1,13094,27832,4.1,14061
East Boston,"181 Paris St.,Unit 1,Boston,MA,02128,East Boston",2200,0,0,1,1,7815,2.4,7563,9731,2.4,7047,14426,2.4,17723
