Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit,Boston University_driving,Boston College_transit,Boston College_driving,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Fenway,180 Brookline Ave. #1532 Fenway,3782,0.0,0.0,1.0,1.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #1106 Fenway,5249,0.0,0.0,2.0,2.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #303 Fenway,5551,0.0,0.0,2.0,2.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #807 Fenway,3608,0.0,0.0,,1.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #1126 Fenway,3932,0.0,0.0,1.0,1.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #1326 Fenway,4032,0.0,0.0,1.0,1.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #553 Fenway,4897,0.0,0.0,2.0,2.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #1044 Fenway,3757,0.0,0.0,1.0,1.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Back Bay,77 Exeter St. #1-803 Back Bay,3855,0.0,0.0,,1.0,2082.0,1442.0,3305.0,2355.0,8840.0,15278.0,1.7,2.4,2.4
Back Bay,77 Exeter St. #1-1906 Back Bay,4517,0.0,0.0,1.0,1.0,2082.0,1442.0,3305.0,2355.0,8840.0,15278.0,1.7,2.4,2.4
Back Bay,77 Exeter St. #1-1206 Back Bay,4737,0.0,0.0,1.0,1.0,2082.0,1442.0,3305.0,2355.0,8840.0,15278.0,1.7,2.4,2.4
Back Bay,790 Boylston St. #790-22A Back Bay,3150,0.0,0.0,,1.0,2367.0,1744.0,3413.0,2252.0,8948.0,8417.0,1.7,4.1,2.4
Fenway,1377 Boylston St. #1215 Fenway,4196,0.0,0.0,1.0,1.0,2679.0,1330.0,1317.0,1122.0,7423.0,6069.0,1.7,1.7,2.4
Fenway,1377 Boylston St. #1107 Fenway,3951,0.0,0.0,1.0,1.0,2679.0,1330.0,1317.0,1122.0,7423.0,6069.0,1.7,1.7,2.4
Fenway,1377 Boylston St. #1005 Fenway,4070,0.0,0.0,,1.0,2679.0,1330.0,1317.0,1122.0,7423.0,6069.0,1.7,1.7,2.4
Fenway,1377 Boylston St. #614 Fenway,4278,0.0,0.0,1.0,1.0,2679.0,1330.0,1317.0,1122.0,7423.0,6069.0,1.7,1.7,2.4
South End,55 Traveler St. #922 South End,4220,0.0,0.0,2.0,2.0,4437.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #722 South End,4210,0.0,0.0,2.0,2.0,4437.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #402 South End,3795,0.0,0.0,2.0,1.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #1701 South End,3990,0.0,0.0,2.0,1.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #610 South End,2965,0.0,0.0,,1.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #1303 South End,3235,0.0,0.0,1.0,1.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #732 South End,4170,0.0,0.0,2.0,2.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
South End,55 Traveler St. #1103 South End,3200,0.0,0.0,1.0,1.0,3577.0,3093.0,7836.0,7480.0,11211.0,16003.0,3.4,4.1,4.1
Allston,219 Western Ave. #S502 Allston,5264,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #S529 Allston,4154,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #S602 Allston,5357,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N208 Allston,5092,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #S428 Allston,4900,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N320 Allston,3903,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N503 Allston,3903,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N921 Allston,4286,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #S628 Allston,5010,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N420 Allston,4156,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N401 Allston,5065,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N616 Allston,4854,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #N507 Allston,5065,0.0,0.0,2.0,2.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Allston,219 Western Ave. #S230 Allston,4272,0.0,0.0,1.0,1.0,6497.0,5857.0,3543.0,4363.0,5629.0,5860.0,3.4,3.4,4.1
Back Bay,30 Dalton #2307 Back Bay,8243,0.0,0.0,2.0,2.0,1443.0,1051.0,2562.0,1431.0,8140.0,13158.0,1.7,2.4,2.4
Back Bay,30 Dalton #2104 Back Bay,4740,0.0,0.0,1.0,1.0,1443.0,1051.0,2562.0,1431.0,8140.0,13158.0,1.7,2.4,2.4
