Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit_distance,Boston University_driving_distance,Boston College_transit_distance,Boston College_driving_distance,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Allston,"223 Harvard Ave.,Unit 8,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,4523.0,3977,1303.0,1234,4093.0,3827,2.4,2.4,2.4
Chinatown,"81 Essex St.,Unit 66,Boston,MA,02111,Chinatown",2600,0.0,0.0,1.0,1.0,3516.0,4247,6985.0,6642,10130.0,15661,2.4,4.1,2.4
Brighton,"24 Upcrest,Unit 2,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,9785.0,9879,4583.0,4139,1931.0,2724,3.4,1.7,0.0
Mission Hill,"198 Hillside St.,Unit 2,Boston,MA,02120,Mission Hill",2600,0.0,0.0,1.0,1.0,1763.0,1723,4485.0,3243,12265.0,6443,2.4,3.4,4.1
Allston,"96 Linden St.,Unit 3A,Boston,MA,02134,Allston",2600,0.13,0.25,1.0,1.0,4443.0,5652,1223.0,1162,4013.0,4274,2.4,2.4,2.4
Dorchester,"105 Buttonwood St.,Unit 1,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7599.0,3575,11879.0,10999,15270.0,19504,1.7,4.1,2.4
Brighton,"1412 Commonwealth Ave.,Unit 14,Boston,MA,02134,Brighton",2600,0.13,0.25,2.0,1.0,5096.0,4659,1876.0,1857,3213.0,3194,2.4,2.4,2.4
Brighton,"121 Tremont St.,Unit 322,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,10129.0,11573,4927.0,8281,2413.0,3095,3.4,1.7,1.7
Mission Hill,"198 Hillside St.,Unit 2,Boston,MA,02120,Mission Hill",2600,0.0,0.0,1.0,1.0,1763.0,1723,4485.0,3243,12265.0,6443,2.4,3.4,4.1
Dorchester,"130 Talbot,Unit 6,Boston,MA,02124,Dorchester",2600,0.284,0.37,2.0,1.0,7108.0,6039,10508.0,10778,14272.0,11795,1.7,3.4,5.8
Brighton,"125 Chiswick Rd.,Unit 207,Boston,MA,02135,Brighton",2600,0.13,0.25,1.0,1.0,6645.0,6262,3425.0,3977,1743.0,1259,2.4,2.4,2.4
Dorchester,"676 Adams St.,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,10296.0,9891,13160.0,16104,20437.0,14383,4.1,3.4,2.4
Brighton,"24 Upcrest,Unit 2,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,9785.0,9879,4583.0,4139,1931.0,2724,3.4,1.7,0.0
Allston,"96 Linden St.,Unit 3A,Boston,MA,02134,Allston",2600,0.13,0.25,1.0,1.0,4443.0,5652,1223.0,1162,4013.0,4274,2.4,2.4,2.4
Allston,"47 Gordon St.,Unit 2,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Brighton,"121 Tremont St.,Unit 322,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,10129.0,11573,4927.0,8281,2413.0,3095,3.4,1.7,1.7
Brighton,"125 Chiswick Rd.,Unit 207,Boston,MA,02135,Brighton",2600,0.13,0.25,1.0,1.0,6645.0,6262,3425.0,3977,1743.0,1259,2.4,2.4,2.4
Beacon Hill,"45 Grove St.,Unit 7,Boston,MA,02114,Beacon Hill",2600,0.0,0.0,1.0,1.0,4811.0,4383,5737.0,3867,10934.0,14543,2.4,4.1,2.4
Jamaica Plain,"16 Lakeville Rd.,Unit 3,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4478.0,3640,6504.0,4773,14284.0,6864,1.7,3.4,4.1
Mission Hill,"198 Hillside St.,Unit 2,Boston,MA,02120,Mission Hill",2600,0.0,0.0,1.0,1.0,1763.0,1723,4485.0,3243,12265.0,6443,2.4,3.4,4.1
Brookline Village,"44 Washington St.,Unit 1204,Brookline,MA,02445,Brookline Village",2600,0.0,0.0,1.0,1.0,2105.0,2059,4343.0,3022,7012.0,6238,2.4,3.4,4.1
Dorchester,"676 Adams St.,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,10296.0,9891,13160.0,16104,20437.0,14383,4.1,3.4,2.4
Jamaica Plain,"14 Lakeville Rd.,Unit 5,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4462.0,3624,6488.0,4757,14268.0,6848,1.7,3.4,4.1
Allston,"47 Gordon St.,Unit 6,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Allston,"47 Gordon St.,Unit 6,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Dorchester,"105 Buttonwood St.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7599.0,3575,11879.0,10999,15270.0,19504,1.7,4.1,2.4
Jamaica Plain,"14 Lakeville Rd.,Unit 12-A,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4462.0,3624,6488.0,4757,14268.0,6848,1.7,3.4,4.1
Allston,"47 Gordon St.,Unit 4,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Brighton,"36 Dighton St.,Unit 14,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,8627.0,10545,3426.0,4404,2126.0,2013,3.4,1.7,4.1
Midtown,"151 Tremont St.,Unit 9K,Boston,MA,02111,Midtown",2600,0.0,0.0,1.0,1.0,3238.0,3048,5158.0,3791,9852.0,15172,2.4,2.4,2.4
Dorchester,"315 Freeport,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,11088.0,6923,11891.0,13136,18660.0,21641,4.1,3.4,2.4
Fenway,"466 Commonwealth Ave.,Unit 206,Boston,MA,02215,Fenway",2600,0.2866,1.86,1.0,1.0,3602.0,814,393.0,651,7171.0,11736,1.7,0.0,2.4
Brookline Village,"44 Washington St.,Unit 1204,Brookline,MA,02445,Brookline Village",2600,0.0,0.0,1.0,1.0,2105.0,2059,4343.0,3022,7012.0,6238,2.4,3.4,4.1
Allston,"437 Cambridge St.,Unit 31,Boston,MA,02134,Allston",2600,0.13,0.25,2.0,1.0,8412.0,5407,1734.0,1617,4644.0,3622,3.4,1.7,2.4
Fenway,"466 Commonwealth Ave.,Unit 206,Boston,MA,02215,Fenway",2600,0.2866,1.86,1.0,1.0,3602.0,814,393.0,651,7171.0,11736,1.7,0.0,2.4
Midtown,"151 Tremont St.,Unit 9K,Boston,MA,02111,Midtown",2600,0.0,0.0,1.0,1.0,3238.0,3048,5158.0,3791,9852.0,15172,2.4,2.4,2.4
Allston,"223 Harvard Ave.,Unit 8,Boston,MA,02134,Allston",2600,0.13,0.25,1.0,1.0,4523.0,3977,1303.0,1234,4093.0,3827,2.4,2.4,2.4
Allston,"1193 Commonwealth Ave.,Unit 5,Boston,MA,02134,Allston",2600,0.13,0.25,2.0,1.0,4414.0,5745,1194.0,1084,3984.0,3854,2.4,2.4,2.4
Dorchester,"24 Oyster Bay Rd.,Unit 370306,Boston,MA,02125,Dorchester",2600,0.284,0.37,1.0,1.0,9641.0,5542,12974.0,11755,15818.0,20260,1.7,1.7,2.4
Jamaica Plain,"14 Lakeville Rd.,Unit 7,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4462.0,3624,6488.0,4757,14268.0,6848,1.7,3.4,4.1
Allston,"47 Gordon St.,Unit 2,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Mission Hill,"11 Parker Hill Ave.,Unit 3A,Boston,MA,02120,Mission Hill",2600,0.0,0.0,1.0,1.0,1671.0,1646,4394.0,2888,12174.0,6088,2.4,3.4,4.1
Dorchester,"244 Savin Hill Ave.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,10025.0,5127,13424.0,14591,16815.0,23096,4.1,4.1,2.4
Dorchester,"105 Buttonwood St.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7599.0,3575,11879.0,10999,15270.0,19504,1.7,4.1,2.4
Allston,"47 Gordon St.,Unit 4,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Allston,"47 Gordon St.,Unit 6,Boston,MA,02135,Allston",2600,0.13,0.25,2.0,1.0,6529.0,6032,2178.0,1958,3749.0,3203,3.4,1.7,2.4
Jamaica Plain,"14 Lakeville Rd.,Unit 5,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4462.0,3624,6488.0,4757,14268.0,6848,1.7,3.4,4.1
Brighton,"36 Dighton St.,Unit 14,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,8627.0,10545,3426.0,4404,2126.0,2013,3.4,1.7,4.1
Jamaica Plain,"14 Lakeville Rd.,Unit 9,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4462.0,3624,6488.0,4757,14268.0,6848,1.7,3.4,4.1
Brighton,"61 Selkirk Rd.,Unit 1,Boston,MA,02115,Brighton",2600,0.13,0.25,2.0,1.0,6716.0,5842,3496.0,3556,1814.0,1607,2.4,2.4,2.4
Allston,"439 Cambridge St.,Unit 2,Boston,MA,02134,Allston",2600,0.13,0.25,2.0,1.0,8426.0,5421,1748.0,1632,4658.0,3608,3.4,1.7,2.4
Brighton,"96 Brooks,Unit 3,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,9575.0,9615,4619.0,8121,1967.0,2760,3.4,1.7,0.0
Mission Hill,"14 Wait St.,Unit 1F,Boston,MA,02120,Mission Hill",2600,0.0,0.0,1.0,1.0,1381.0,1357,5247.0,2628,12883.0,6379,2.4,3.4,2.4
Brighton,"1412 Commonwealth Ave.,Unit 9,Boston,MA,02134,Brighton",2600,0.13,0.25,2.0,1.0,5097.0,4659,1877.0,1858,3424.0,3195,2.4,2.4,2.4
Brighton,"1422 Commonwealth Ave.,Unit 3,Boston,MA,02134,Brighton",2600,0.13,0.25,2.0,1.0,5318.0,4709,2098.0,1907,3163.0,3244,2.4,2.4,2.4
Roxbury,"5 Stafford St.,Unit 1,Boston,MA,02119,Roxbury",2600,0.38,0.07,2.0,1.0,3466.0,2257,6866.0,5064,11019.0,9907,1.7,3.4,5.8
Roxbury,"66 Batchelder,Unit 1,Boston,MA,02119,Roxbury",2600,0.38,0.07,2.0,1.0,3983.0,2373,7383.0,5100,11495.0,19134,1.7,3.4,5.8
Dorchester,"676 Adams St.,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,10296.0,9891,13160.0,16104,20437.0,14383,4.1,3.4,2.4
Roxbury,"4-A Rockledge St.,Unit 1,Boston,MA,02119,Roxbury",2600,0.38,0.07,2.0,1.0,2129.0,2239,6841.0,4231,9631.0,8587,1.7,4.1,4.1
Dorchester,"105 Buttonwood St.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7599.0,3575,11879.0,10999,15270.0,19504,1.7,4.1,2.4
Dorchester,"103 Buttonwood St.,Unit 3,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,7593.0,3569,11873.0,10993,15264.0,19498,1.7,4.1,2.4
Jamaica Plain,"47 1/2 Jamacia,Unit 2,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,5413.0,4272,7439.0,5684,15220.0,7074,1.7,3.4,4.1
Roxbury,"3 Sunderland,Unit 3,Boston,MA,02121,Roxbury",2600,0.38,0.07,2.0,1.0,4373.0,3297,7773.0,6523,11926.0,11484,1.7,3.4,5.8
Dorchester,"244 Savin Hill Ave.,Unit 2,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,12368.0,5127,13424.0,14591,16815.0,23096,4.1,4.1,2.4
East Boston,"119 Webster St.,Unit 2,Boston,MA,02128,East Boston",2600,0.0,0.0,1.0,1.0,6687.0,8549,8603.0,8033,13298.0,18709,2.4,2.4,2.4
Brighton,"1422 Commonwealth Ave.,Unit 5,Boston,MA,02134,Brighton",2600,0.13,0.25,2.0,1.0,5318.0,4709,2098.0,1907,3163.0,3244,2.4,2.4,2.4
Fenway,"466 Commonwealth Ave.,Unit 206,Boston,MA,02215,Fenway",2600,0.2866,1.86,1.0,1.0,3602.0,814,393.0,651,7171.0,11736,1.7,0.0,2.4
Allston,"439 Cambridge St.,Unit 2,Boston,MA,02134,Allston",2600,0.13,0.25,2.0,1.0,8426.0,5421,1748.0,1632,4658.0,3608,3.4,1.7,2.4
Jamaica Plain,"16 Lakeville Rd.,Unit 3,Boston,MA,02130,Jamaica Plain",2600,0.03,0.28,2.0,1.0,4478.0,3640,6504.0,4773,14284.0,6864,1.7,3.4,4.1
Brighton,"36 Dighton St.,Unit 14,Boston,MA,02135,Brighton",2600,0.13,0.25,2.0,1.0,8627.0,10545,3426.0,4404,2738.0,2013,3.4,1.7,4.1
Allston,"80 Gardner St.,Unit 42,Boston,MA,02134,Allston",2600,0.13,0.25,1.0,1.0,7079.0,6187,842.0,1141,4524.0,4865,3.4,0.0,2.4
Dorchester,"315 Freeport,Unit 1,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,11088.0,6923,11891.0,13136,18660.0,21641,4.1,3.4,2.4
Dorchester,"4 Saint Margaret St.,Unit 1,Boston,MA,02125,Dorchester",2600,0.284,0.37,2.0,1.0,5075.0,3180,10503.0,10211,17482.0,18743,3.4,1.7,4.1
